business_bin,application_type,application_date,year,qtr_from,qtr_to,amount,discount,surcharge,interest,total,issued_date,valid_until,or_no,or_date,permit_no,business_plate_number,mode_of_payment
0403424-2024-0001001,R,01/14/2025,2025,1,4,6605.5,0,0,0,6605.5,01/16/2025,12/31/2025,9966031,01/14/2025,,0002,MANUAL
0403424-2024-0001002,R,01/02/2025,2025,1,4,8498,0,0,0,8498,01/04/2025,12/31/2025,5457475,01/02/2025,,0003,MANUAL
0403424-2024-0001003,R,01/02/2025,2025,1,4,7716,0,0,0,7716,01/04/2025,12/31/2025,5812665,01/04/2025,,0004,MANUAL
0403424-2024-0001004,R,01/02/2025,2025,1,4,8666,0,0,0,8666,01/04/2025,12/31/2025,5457471,01/02/2025,,0006,MANUAL
0403424-2025-0001005,N,04/02/2025,2025,1,4,2978,0,0,0,2978,04/04/2025,12/31/2025,2372587,04/04/2025,,0008,MANUAL
0403424-2024-0001006,R,01/02/2025,2025,1,4,2810.5,0,0,0,2810.5,01/04/2025,12/31/2025,4864783,01/02/2025,,0010,MANUAL
0403424-2024-0001007,R,01/02/2025,2025,1,4,5848,0,0,0,5848,01/04/2025,12/31/2025,4864790,01/02/2025,,0011,MANUAL
0403424-2024-0001009,R,01/04/2025,2025,1,4,7816,0,0,0,7816,01/04/2025,12/31/2025,5813899,01/04/2025,,0014,MANUAL
0403424-2024-0001010,R,01/02/2025,2025,1,4,3318,0,0,0,3318,01/04/2025,12/31/2025,5457474,01/02/2025,,0015,MANUAL
0403424-2024-0001011,R,01/06/2025,2025,1,4,16270.5,0,0,0,16270.5,01/06/2025,12/31/2025,5812694,01/06/2025,,0016,MANUAL
0403424-2024-0001012,R,01/03/2025,2025,1,4,11540,0,0,0,11540,01/04/2025,12/31/2025,5812558,01/03/2025,,0018,MANUAL
0403424-2024-0001013,R,01/02/2025,2025,1,4,5292,0,0,0,5292,01/04/2025,12/31/2025,4864811,01/02/2025,,0019,MANUAL
0403424-2024-0001015,R,01/02/2025,2025,1,4,3998,0,0,0,3998,01/04/2025,12/31/2025,4864779,01/02/2025,,0021,MANUAL
0403424-2024-0001018,R,01/02/2025,2025,1,4,8698,0,0,0,8698,01/04/2025,12/31/2025,4864798,01/02/2025,,0024,MANUAL
0403424-2024-0001020,R,01/02/2025,2025,1,4,8698,0,0,0,8698,01/04/2025,12/31/2025,5457493,01/02/2025,,0026,MANUAL
0403424-2024-0001022,R,01/02/2025,2025,1,4,4296,0,0,0,4296,01/04/2025,12/31/2025,5457429,01/02/2025,,0028,MANUAL
0403424-2024-0001023,R,01/04/2025,2025,1,4,6696,0,0,0,6696,01/04/2025,12/31/2025,5813896,01/04/2025,,0030,MANUAL
0403424-2024-0001024,R,01/02/2025,2025,1,4,5248,0,0,0,5248,01/04/2025,12/31/2025,5457489,01/02/2025,,0031,MANUAL
0403424-2024-0001025,R,01/02/2025,2025,1,4,8698,0,0,0,8698,01/04/2025,12/31/2025,5457468,01/02/2025,,0032,MANUAL
0403424-2024-0001026,R,01/02/2025,2025,1,4,4080.5,0,0,0,4080.5,01/04/2025,12/31/2025,5457477,01/02/2025,,0033,MANUAL
0403424-2024-0001027,R,01/02/2025,2025,1,4,5668,0,0,0,5668,01/04/2025,12/31/2025,4864780,01/02/2025,,0034,MANUAL
0403424-2024-0001028,R,01/02/2025,2025,1,4,32064,0,0,0,32064,01/04/2025,12/31/2025,5457481,01/02/2025,,0035,MANUAL
0403424-2024-0001029,R,01/02/2025,2025,1,4,4546,0,0,0,4546,01/04/2025,12/31/2025,5457425,01/02/2025,,0036,MANUAL
0403424-2024-0001031,R,01/02/2025,2025,1,4,8088,0,0,0,8088,01/04/2025,12/31/2025,7060223,01/02/2025,,0038,MANUAL
0403424-2024-0001032,R,01/04/2025,2025,1,4,7366,0,0,0,7366,01/04/2025,12/31/2025,5812681,01/04/2025,,0039,MANUAL
0403424-2024-0001033,R,01/02/2025,2025,1,4,4422,0,0,0,4422,01/04/2025,12/31/2025,5457484,01/02/2025,,0040,MANUAL
0403424-2024-0001034,R,04/07/2025,2025,1,4,3146.28,0,0,0,3146.28,04/07/2025,12/31/2025,2372593,04/07/2025,,0041,MANUAL
0403424-2024-0001035,R,01/02/2025,2025,1,4,14578,0,0,0,14578,01/04/2025,12/31/2025,4864801,01/02/2025,,0043,MANUAL
0403424-2024-0001036,R,01/03/2025,2025,1,4,10876,0,0,0,10876,01/04/2025,12/31/2025,5814170,01/03/2025,,0044,MANUAL
0403424-2024-0001037,R,01/02/2025,2025,1,4,6378,0,0,0,6378,01/04/2025,12/31/2025,4864800,01/02/2025,,0045,MANUAL
0403424-2024-0001038,R,01/03/2025,2025,1,4,12266,0,0,0,12266,01/04/2025,12/31/2025,5814157,01/03/2025,,0046,MANUAL
0403424-2024-0001039,R,01/02/2025,2025,1,4,4816,0,0,0,4816,01/04/2025,12/31/2025,5457618,01/02/2025,,0047,MANUAL
0403424-2024-0001041,R,02/28/2025,2025,1,4,6050,0,0,0,6050,02/28/2025,12/31/2025,2390061,02/28/2025,,0049,MANUAL
0403424-2024-0001042,R,01/02/2025,2025,1,4,5348,0,0,0,5348,01/04/2025,12/31/2025,5814191,01/03/2025,,0052,MANUAL
0403424-2024-0001043,R,01/02/2025,2025,1,4,7716,0,0,0,7716,01/04/2025,12/31/2025,7060214,01/02/2025,,0054,MANUAL
0403424-2024-0001044,R,01/02/2025,2025,1,4,6346,0,0,0,6346,01/04/2025,12/31/2025,7060210,01/02/2025,,0056,MANUAL
0403424-2024-0001045,R,01/02/2025,2025,1,4,37484.2,0,0,0,37484.2,01/04/2025,12/31/2025,5457427,01/02/2025,,0058,MANUAL
0403424-2024-0001046,R,01/20/2025,2025,1,4,23022,0,0,0,23022,01/27/2025,12/31/2025,2373020,01/27/2025,,0059,MANUAL
0403424-2024-0001047,R,01/11/2025,2025,1,4,7191.75,0,0,0,7191.75,01/11/2025,12/31/2025,9946995,01/11/2025,,0060,MANUAL
0403424-2024-0001049,R,01/17/2025,2025,1,4,306992.82,0,0,0,306992.82,01/21/2025,12/31/2025,9976723,01/21/2025,,0062,MANUAL
0403424-2024-0001050,R,01/07/2025,2025,1,4,10298,0,0,0,10298,01/07/2025,12/31/2025,5812793,01/07/2025,,0065,MANUAL
0403424-2024-0001051,R,01/07/2025,2025,1,4,8648,0,0,0,8648,01/07/2025,12/31/2025,5812792,01/07/2025,,0066,MANUAL
0403424-2024-0001052,R,01/02/2025,2025,1,4,10516,0,0,0,10516,01/04/2025,12/31/2025,4864835,01/02/2025,,0068,MANUAL
0403424-2024-0001053,R,01/08/2025,2025,1,4,4346,0,0,0,4346,01/08/2025,12/31/2025,5812884,01/08/2025,,0070,MANUAL
0403424-2024-0001054,R,01/08/2025,2025,1,4,4336,0,0,0,4336,01/08/2025,12/31/2025,5812881,01/08/2025,,0071,MANUAL
0403424-2024-0001055,R,01/02/2025,2025,1,4,6766,0,0,0,6766,01/04/2025,12/31/2025,4864840,01/02/2025,,0072,MANUAL
0403424-2024-0001056,R,01/08/2025,2025,1,4,4346,0,0,0,4346,01/08/2025,12/31/2025,5812886,01/08/2025,,0073,MANUAL
0403424-2024-0001057,R,01/08/2025,2025,1,4,4346,0,0,0,4346,01/08/2025,12/31/2025,5812883,01/08/2025,,0074,MANUAL
0403424-2024-0001058,R,01/02/2025,2025,1,4,29464,0,0,0,29464,01/04/2025,12/31/2025,7060202,01/02/2025,,0075,MANUAL
0403424-2024-0001059,R,01/11/2025,2025,1,2,4563,0,0,0,4563,01/21/2025,12/31/2025,9962255,01/14/2025,,0076,MANUAL
0403424-2024-0001059,R,01/11/2025,2025,3,4,1815,0,0,0,1815,01/21/2025,12/31/2025,1445310,06/18/2025,,0076,MANUAL
0403424-2024-0001060,R,01/03/2025,2025,1,4,13018,0,0,0,13018,01/04/2025,12/31/2025,5812578,01/03/2025,,0077,MANUAL
0403424-2024-0001061,R,01/28/2025,2025,1,4,10476,0,0,0,10476,01/04/2025,12/31/2025,5814158,01/03/2025,,0078,MANUAL
0403424-2024-0001062,R,01/03/2025,2025,1,4,2388,0,0,0,2388,01/30/2025,12/31/2025,2373877,01/30/2025,,0079,MANUAL
0403424-2024-0001063,R,01/27/2025,2025,1,4,8426,0,0,0,8426,01/04/2025,12/31/2025,5812615,01/03/2025,,0080,MANUAL
0403424-2024-0001064,R,01/02/2025,2025,1,4,6938,0,0,0,6938,01/27/2025,12/31/2025,2373033,01/27/2025,,0081,MANUAL
0403424-2024-0001065,R,01/02/2025,2025,1,4,5373.5,0,0,0,5373.5,01/04/2025,12/31/2025,7060224,01/03/2025,,0082,MANUAL
0403424-2024-0001066,R,01/02/2025,2025,1,1,34383.5,0,0,0,34383.5,01/27/2025,12/31/2025,2379252,01/25/2025,,0083,MANUAL
