bin,business_line_code,capital_amount,gross_amount,gross_amount_essential,gross_amount_nonessential
0403424-2024-0001038,47113,0,430000,0,430000
0403424-2024-0001060,68110,0,200000,0,200000
0403424-2024-0001061,68110,0,252000,0,252000
0403424-2024-0001063,68110,0,580000,0,580000
0403424-2024-0001076,47113,0,160000,0,160000
0403424-2024-0001083,47610,0,727854,0,727854
0403424-2024-0001103,11053,0,270000,0,270000
0403424-2024-0001107,47721,0,600000,0,600000
0403424-2024-0001171,85592,0,100000,0,100000
0403424-2024-0001201,47711,0,350000,0,350000
0403424-2024-0001204,68110,0,42000,0,42000
0403424-2024-0001207,47713,0,400000,0,400000
0403424-2024-0001211,47750,0,60000,0,60000
0403424-2024-0001232,64930,0,717213.1,0,717213.1
0403424-2024-0001232,64930,0,160809.2,0,160809.2
0403424-2024-0001232,64930,0,41490,0,41490
0403424-2024-0001232,64930,0,2883.22,0,2883.22
0403424-2024-0001244,45204,0,70000,0,70000
0403424-2024-0001315,47113,0,85000,0,85000
0403424-2024-0001316,47113,0,320000,0,320000
0403424-2024-0001322,45209,0,250000,0,250000
0403424-2024-0001347,47113,0,20000,0,20000
0403424-2024-0001350,68110,0,385866.9,0,385866.9
0403424-2024-0001358,68110,0,432000,0,432000
0403424-2024-0001381,47523,0,200000,200000,0
0403424-2024-0001382,31090,0,500000,0,500000
0403424-2024-0001400,79110,0,3057000,0,3057000
0403424-2024-0001417,47113,0,120000,0,120000
0403424-2024-0001431,68110,0,120000,0,120000
0403424-2024-0001439,93292,0,50000,0,50000
0403424-2024-0001440,42900,0,2800000,0,2800000
0403424-2024-0001442,55102,0,50000,0,50000
0403424-2024-0001461,85602,0,60000,0,60000
0403424-2024-0001478,56210,0,70000,0,70000
0403424-2024-0001481,47219,0,220000,0,220000
0403424-2024-0001486,45201,0,275000,0,275000
0403424-2024-0001497,47113,0,130000,0,130000
0403424-2024-0001505,47113,0,145000,0,145000
0403424-2024-0001524,46694,0,150000,0,150000
0403424-2024-0001541,47214,0,400000,0,400000
0403424-2024-0001543,47113,0,260000,0,260000
0403424-2024-0001547,47113,0,430000,0,430000
0403424-2024-0001559,86900,0,150000,0,150000
0403424-2024-0001584,68110,0,180000,0,180000
0403424-2024-0001596,47113,0,90000,0,90000
0403424-2024-0001603,68110,0,60000,0,60000
0403424-2024-0001617,68110,0,72000,0,72000
0403424-2024-0001629,47721,0,270000,230000,40000
0403424-2024-0001684,47113,0,200000,0,200000
0403424-2024-0001692,10711,0,1000000,0,1000000
0403424-2024-0001713,47113,0,120000,0,120000
