nature_code,business_nature,line_code,business_line,license,permit,sanitary,garbage
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1111,"Growing of leguminous crops such as: mongo, string beans (sitao), pigeon peas, gisantes, garbanzos, bountiful beans (habichuelas), peas (sitsaro) ",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1112,Growing of groundnuts,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1113,"Growing of oil seeds (except groundnuts) such as soya beans, sunflower and growing of other oil seeds, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1114,"Growing of  sorghum, wheat",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1119,"Growing of other cereals (except rice and corn), leguminous crops and oil seeds, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1121,"Growing of paddy rice, lowland, irrigated",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1122,"Growing of paddy rice, lowland, rainfed",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1123,"Growing of paddy rice, upland/kaingin ",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1130,"Growing of corn, except young corn (vegetable)",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1140,Growing of sugarcane including muscovado sugar-making in the farm,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1151,Growing of virginia tobacco including flue-curing done in the farm,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1152,Growing of native tobacco including flue-curing done in the farm,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1161,Growing of abaca,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1162,Growing of cotton,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1163,Growing of kapok,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1164,Growing of maguey,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1165,Growing of ramie,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1166,Growing of pi–a,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1167,Growing of jute,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1168,Growing of kenaf,,,,
